depth,seed_id,comparison_type,history_a,replicate_a,history_b,replicate_b,distance
128,seed_404,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,1,0.029623
128,seed_404,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,2,0.008915
128,seed_404,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,0,0.029641
128,seed_404,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,1,0.03811
128,seed_404,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,2,0.044589
128,seed_404,WITHIN_HISTORY,H_BETA,0,H_BETA,1,0.059523
128,seed_404,WITHIN_HISTORY,H_BETA,0,H_BETA,2,0.034449
128,seed_404,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,0,0.008737
128,seed_404,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,1,0.046735
128,seed_404,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,2,0.017294
128,seed_404,WITHIN_HISTORY,H_BETA,1,H_BETA,2,0.025211
128,seed_404,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,0,0.057869
128,seed_404,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,1,0.03451
128,seed_404,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,2,0.065025
128,seed_404,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,0,0.032758
128,seed_404,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,1,0.029286
128,seed_404,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,2,0.04215
128,seed_404,WITHIN_HISTORY,H_GAMMA,0,H_GAMMA,1,0.050435
128,seed_404,WITHIN_HISTORY,H_GAMMA,0,H_GAMMA,2,0.026014
128,seed_404,WITHIN_HISTORY,H_GAMMA,1,H_GAMMA,2,0.042562
128,seed_505,WITHIN_HISTORY,H_ALPHA,0,H_ALPHA,1,0.08421
128,seed_505,WITHIN_HISTORY,H_ALPHA,0,H_ALPHA,2,0.010576
128,seed_505,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,0,0.069023
128,seed_505,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,1,0.076226
128,seed_505,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,2,0.086144
128,seed_505,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,0,0.122326
128,seed_505,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,1,0.116993
128,seed_505,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,2,0.055568
128,seed_505,WITHIN_HISTORY,H_ALPHA,1,H_ALPHA,2,0.07375
128,seed_505,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,0,0.024605
128,seed_505,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,1,0.061394
128,seed_505,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,2,0.090725
128,seed_505,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,0,0.065826
128,seed_505,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,1,0.074237
128,seed_505,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,2,0.048898
128,seed_505,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,0,0.059391
128,seed_505,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,1,0.070298
128,seed_505,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,2,0.083524
128,seed_505,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,0,0.114245
128,seed_505,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,1,0.110065
128,seed_505,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,2,0.048173
128,seed_505,WITHIN_HISTORY,H_BETA,0,H_BETA,1,0.038305
128,seed_505,WITHIN_HISTORY,H_BETA,0,H_BETA,2,0.067096
128,seed_505,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,0,0.059162
128,seed_505,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,1,0.061382
128,seed_505,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,2,0.024555
128,seed_505,WITHIN_HISTORY,H_BETA,1,H_BETA,2,0.029438
128,seed_505,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,0,0.051776
128,seed_505,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,1,0.041751
128,seed_505,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,2,0.024112
128,seed_505,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,0,0.069689
128,seed_505,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,1,0.053538
128,seed_505,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,2,0.047673
128,seed_505,WITHIN_HISTORY,H_GAMMA,0,H_GAMMA,1,0.018632
128,seed_505,WITHIN_HISTORY,H_GAMMA,0,H_GAMMA,2,0.066901
128,seed_505,WITHIN_HISTORY,H_GAMMA,1,H_GAMMA,2,0.06191
256,seed_101,WITHIN_HISTORY,H_ALPHA,0,H_ALPHA,1,0.05296
256,seed_101,WITHIN_HISTORY,H_ALPHA,0,H_ALPHA,2,0.042594
256,seed_101,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,0,0.356183
256,seed_101,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,1,0.419103
256,seed_101,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,2,0.425013
256,seed_101,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,0,0.73739
256,seed_101,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,1,0.725068
256,seed_101,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,2,0.731618
