depth,seed_id,comparison_type,history_a,replicate_a,history_b,replicate_b,distance
256,seed_101,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,2,0.00007076
256,seed_101,WITHIN_HISTORY,H_BETA,1,H_BETA,2,0.00009876
256,seed_101,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,0,0.00002800
256,seed_101,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,1,0.00000000
256,seed_101,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,2,0.00009876
256,seed_101,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,0,0.00007076
256,seed_101,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,1,0.00009876
256,seed_101,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,2,0.00000000
256,seed_101,WITHIN_HISTORY,H_GAMMA,0,H_GAMMA,1,0.00002800
256,seed_101,WITHIN_HISTORY,H_GAMMA,0,H_GAMMA,2,0.00007076
256,seed_101,WITHIN_HISTORY,H_GAMMA,1,H_GAMMA,2,0.00009876
256,seed_202,WITHIN_HISTORY,H_ALPHA,0,H_ALPHA,1,0.00023476
256,seed_202,WITHIN_HISTORY,H_ALPHA,0,H_ALPHA,2,0.00012267
256,seed_202,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,0,0.00095441
256,seed_202,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,1,0.00103661
256,seed_202,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,2,0.00095235
256,seed_202,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,0,0.00095441
256,seed_202,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,1,0.00103661
256,seed_202,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,2,0.00095235
256,seed_202,WITHIN_HISTORY,H_ALPHA,1,H_ALPHA,2,0.00011210
256,seed_202,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,0,0.00071964
256,seed_202,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,1,0.00080184
256,seed_202,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,2,0.00071758
256,seed_202,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,0,0.00071964
256,seed_202,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,1,0.00080184
256,seed_202,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,2,0.00071758
256,seed_202,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,0,0.00083174
256,seed_202,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,1,0.00091394
256,seed_202,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,2,0.00082968
256,seed_202,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,0,0.00083174
256,seed_202,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,1,0.00091394
256,seed_202,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,2,0.00082968
256,seed_202,WITHIN_HISTORY,H_BETA,0,H_BETA,1,0.00008220
256,seed_202,WITHIN_HISTORY,H_BETA,0,H_BETA,2,0.00000206
256,seed_202,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,0,0.00000000
256,seed_202,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,1,0.00008220
256,seed_202,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,2,0.00000206
256,seed_202,WITHIN_HISTORY,H_BETA,1,H_BETA,2,0.00008426
256,seed_202,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,0,0.00008220
256,seed_202,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,1,0.00000000
256,seed_202,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,2,0.00008426
256,seed_202,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,0,0.00000206
256,seed_202,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,1,0.00008426
256,seed_202,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,2,0.00000000
256,seed_202,WITHIN_HISTORY,H_GAMMA,0,H_GAMMA,1,0.00008220
256,seed_202,WITHIN_HISTORY,H_GAMMA,0,H_GAMMA,2,0.00000206
