depth,seed_id,history_id,replicate_id,poincare_u,poincare_v,pfm_head_digest,current_zone,strain_frobenius,governor_anti_lock
256,seed_101,H_BETA,2,0.14117635,0.00000000,ea48e97c86f018da056a9a680dc55587694985417c7fc9c5212069bab6603ecb,0,3.648840,99.40
256,seed_101,H_GAMMA,0,0.14114167,0.00000000,f5e6bcd503b0bb338ca850283455ab137f047842975cc742df002366d51abf52,0,3.917473,99.40
256,seed_101,H_GAMMA,1,0.14112795,0.00000000,650dbeace6fc3c89092b3f771891af6dbc46c0ec81dc38cb994d7ce5939c850e,0,3.876773,99.40
256,seed_101,H_GAMMA,2,0.14117635,0.00000000,1e7065cd4e7c09503d006f1f31955c0255eb19ac4a5ce007ca188ce1dd6d51ee,0,4.034428,99.40
256,seed_202,H_ALPHA,0,0.14163892,0.00000000,e7c131bc26aef3aa81f9fc6796ed10fda045f656708cafabd6c38bc7cf5eb9e6,0,3.374967,99.40
256,seed_202,H_ALPHA,1,0.14152389,0.00000000,5c473ede500f2d8311a05660a9b87d69926fb85e6cef6ff8bd06d8f694b87c8c,0,3.288461,99.40
256,seed_202,H_ALPHA,2,0.14157882,0.00000000,0543d0a78b4405ff06778a95ea2d360a34005d9dabfe6643714ce2db6948a03e,0,3.383453,99.40
256,seed_202,H_BETA,0,0.14117126,0.00000000,df45ed90610ac089ca3ba87ae3c0d9d312dddba39fb3e7364423a81b6ef1971d,0,3.633576,99.40
256,seed_202,H_BETA,1,0.14113098,0.00000000,c953575521c4e0021152c6b4f810c7dbf931f555b634c0a90303d1ed0de82434,0,3.516115,99.40
256,seed_202,H_BETA,2,0.14117227,0.00000000,40514aaca21ab33687f1cf84355d6d468b6bcf22a51a70ae3d10f230e2e94c20,0,3.631885,99.40
256,seed_202,H_GAMMA,0,0.14117126,0.00000000,3ca9234590888797e4d3aea826a3ca7718fdec88fcfca8782c4e025af725b479,0,4.008933,99.40
256,seed_202,H_GAMMA,1,0.14113098,0.00000000,b87939a31789a4449565b5cdf427a9d85c5251822175af001f1e69b1d585d415,0,3.885017,99.40
256,seed_202,H_GAMMA,2,0.14117227,0.00000000,688f84c8fc3dcb7799c01407bd1e62cf382ddeb99d30e20b7a0f24b90c4a468e,0,4.012099,99.40
256,seed_303,H_ALPHA,0,0.14159993,0.00000000,1b54bd95e12dc38481b0b663c5664459bf61e75025b4e5e4cdac23fd3ccb7bc5,0,3.324985,99.40
256,seed_303,H_ALPHA,1,0.14143825,0.00000000,de70bb9be68b9f65ffa55dc5d18556e773b2b138a4fc4311140b5730967f5f96,0,3.303773,99.40
256,seed_303,H_ALPHA,2,0.14149818,0.00000000,41be539dfb8f4784f4b7b4605352ca032e0a3cb937b7714e436bbb583ee4da00,0,3.418044,99.40
256,seed_303,H_BETA,0,0.14115582,0.00000000,8caa07d81ffbb891613ae0819dd089a5bad8a8936b51c09a61f4b1bd49339519,0,3.580572,99.40
256,seed_303,H_BETA,1,0.14114071,0.00000000,20f09315945fdce0674a4c08f29988400dcb6ddbe200de6894c3eb69ad3059be,0,3.540491,99.40
256,seed_303,H_BETA,2,0.14117299,0.00000000,a21356a374fe560dacd85cbd9e1eafc4536fb7ac5022f5a6b05d127fda3292c9,0,3.641547,99.40
256,seed_303,H_GAMMA,0,0.14115582,0.00000000,e3e97638d9301d47f256d2ad39eb8cd7259a35bf305a24387cc8e38cecd7cf5a,0,3.972140,99.40
256,seed_303,H_GAMMA,1,0.14114071,0.00000000,c70085c71f2c5e9b2ca87da44f32aa3d883c0fd70ac97a9810717be717bdf239,0,3.921963,99.40
256,seed_303,H_GAMMA,2,0.14117299,0.00000000,d1b95521f726954bb6243e115da5c8d95648108f04b0506c6f2fbe9ab40777e8,0,4.014398,99.40
256,seed_404,H_ALPHA,0,0.14154752,0.00000000,a89d659a05bae1cd18265db65f0195b69c2f69cdfec686fb284657625f4f121c,0,3.287632,99.40
256,seed_404,H_ALPHA,1,0.14157095,0.00000000,4a7019ef2d4d535df7a34086858fd466ddec700fb5860d04cd426259cc52b279,0,3.245526,99.40
256,seed_404,H_ALPHA,2,0.14161561,0.00000000,434ea5d4d6c3164af33ef31124e4bf3315fbf0ea40c52ed8643eab90d3ded1c2,0,3.418288,99.40
256,seed_404,H_BETA,0,0.14112750,0.00000000,80f1f84c371c13f11b8c46d891b4d11f9974e71f5a531d79be1abbbcdedb62d4,0,3.494078,99.40
256,seed_404,H_BETA,1,0.14111686,0.00000000,912fe232b9b2b92ce1295f4729dbdc8f12eb76687f3eb1cea90d2b98a5753dc0,0,3.458802,99.40
256,seed_404,H_BETA,2,0.14118087,0.00000000,e3f71a48eadc022a3165b1fafe7b6e78d248dbaf1edae088d819e2ccfa21751b,0,3.656841,99.40
256,seed_404,H_GAMMA,0,0.14112750,0.00000000,442b0089eb0858f289fe2fb4c67df16d645c7282adb1d077b7065a3551b68cc9,0,3.875686,99.40
256,seed_404,H_GAMMA,1,0.14111686,0.00000000,b25d3d1d6c0ba9cd6b6791d30e6da5c5bad5da52a9a3bf327fbc10c7b9fd725a,0,3.845370,99.40
256,seed_404,H_GAMMA,2,0.14118087,0.00000000,d098533b2ec59632884dee6fac9e6b3d918a6935aa590942d65d8aeb1c1f74ac,0,4.045384,99.40
256,seed_505,H_ALPHA,0,0.14162613,0.00000000,9a6b163be19911ce2ae2490b93161d68b5aa9474256e4a3f2921a41d7bee19de,0,3.307940,99.40
256,seed_505,H_ALPHA,1,0.14162363,0.00000000,561c82f43aad2b4a9acf0ce617e9d37bac1689884139794346b0f90078850233,0,3.394794,99.40
256,seed_505,H_ALPHA,2,0.14178536,0.00000000,d2a2f35942e7299760268a7e2b25d9cfb0f153ec52d1371ce484a30642a00df9,0,3.403232,99.40
256,seed_505,H_BETA,0,0.14113783,0.00000000,c78481871d5f7f7213a67ed8853d2c04fbf1fdac78341568d8d1b3f5e784dec9,0,3.526477,99.40
256,seed_505,H_BETA,1,0.14117005,0.00000000,501b337eed406b05556c4fbd40436b556f9b98d4f36934760d807af5aa33b0e1,0,3.633697,99.40
256,seed_505,H_BETA,2,0.14118216,0.00000000,eebaa80e7507eeedacde02c88ef1c7dc64997c163f8b8c168a66eaa0a5bae8b4,0,3.670534,99.40
256,seed_505,H_GAMMA,0,0.14113783,0.00000000,6b76dc9570d49d81572ed1927e317077e00facae937a593c593d75169e25ae76,0,3.908813,99.40
256,seed_505,H_GAMMA,1,0.14117005,0.00000000,dcc129e77fbd7f254f157b262146efcb5d1b6cf76a0709463f75deb65d8eb3cd,0,4.004904,99.40
256,seed_505,H_GAMMA,2,0.14118216,0.00000000,6babc094a6a0def048830d230b82ab2c3ef411e8d26d888f03b46592730a1d11,0,4.056046,99.40
384,seed_101,H_ALPHA,0,0.14149721,0.00000000,c0ceff9b66d4952ace6a3b3ad7dc48d10e23f681b3ce712324607e3ca377dc88,0,3.673459,99.40
384,seed_101,H_ALPHA,1,0.14163944,0.00000000,63e5d4d7f271a639ec0cbd6a2d7c31995e339d119f73dffbb5bfc9de02830ab3,0,3.785491,99.40
384,seed_101,H_ALPHA,2,0.14164701,0.00000000,c927e3fe071a52f1a8f0086e83dc4a527ef6059697e51f4a45ab691f15062c2b,0,3.478681,99.40
384,seed_101,H_BETA,0,0.14122392,0.00000000,14646a58be792887f37e571db37aed86b0e6096182574aa9a4b03388ef2dd3dd,0,3.970166,99.40
384,seed_101,H_BETA,1,0.14125522,0.00000000,fc130928543f8cec75f916453bb1747426b8cdec846da8fd4a3f19bc5417a8a4,0,4.099783,99.40
384,seed_101,H_BETA,2,0.14116127,0.00000000,244586c314222975c2fa048efde8ae9729a47d3fdc44c52ff5304067d5bbd1dc,0,3.757490,99.40
384,seed_101,H_GAMMA,0,0.14122392,0.00000000,b758fb0f168f26a39f26e2ffeca047d2f47b88c815b7ee2439bb38104105bb6f,0,4.357121,99.40
384,seed_101,H_GAMMA,1,0.14125522,0.00000000,7b76cdb2ba700ce63fbe2654c23dedbdd80d9b1f1b6ea9c31fd7fe9c9b48ffdb,0,4.485055,99.40
384,seed_101,H_GAMMA,2,0.14116127,0.00000000,18155d8788fc0a80382a65d987b0639ad57b52a48cbcda2c6f1713ab4d7b6c65,0,4.137307,99.40
384,seed_202,H_ALPHA,0,0.14163709,0.00000000,b3adb2807498a74b82ca71717ace6ba386703f5c95eb8b452fbcd23a6aafefcf,0,3.674245,99.40
384,seed_202,H_ALPHA,1,0.14164940,0.00000000,d9f300b7edcb9a95de3d2745c5661276310473f0db123fe30d1f1800ae3de5a2,0,3.666743,99.40
384,seed_202,H_ALPHA,2,0.14157204,0.00000000,6226aef99e763eb5d96579a5062cdcb33892c21e045f1f96fb8f1bc37761b29d,0,3.619682,99.40
384,seed_202,H_BETA,0,0.14122331,0.00000000,e9c745bd3fb3def5e60eb93106360205287015c8996b6e7bd656080a676fbdd9,0,3.984804,99.40
384,seed_202,H_BETA,1,0.14121999,0.00000000,b90474e20e225f64c5928c4933527cab6b225f090bfa55776412bf3fa602acdb,0,3.954873,99.40
384,seed_202,H_BETA,2,0.14121778,0.00000000,05e3a022690737406889047b327ce4ba5d05022500bacf4c036e1d3bb801cf21,0,3.946305,99.40
384,seed_202,H_GAMMA,0,0.14122331,0.00000000,670dd9ad45f3e6b2ac1400f4ebbbfb3e49df6e9d597f89b02f57fef6a0473d16,0,4.369122,99.40
384,seed_202,H_GAMMA,1,0.14121999,0.00000000,97eadc6bcbb493453ccc301241577338c5877d4938e25c10d0ae2fc42bee956f,0,4.348036,99.40
384,seed_202,H_GAMMA,2,0.14121778,0.00000000,ddd7e2c7f59c21d705112640dcc2b11c847aee8108b7106fa17f0e841ce2caa1,0,4.332271,99.40
384,seed_303,H_ALPHA,0,0.14165319,0.00000000,819f76b00394fbc75e89928e2cc0fd1486e80d97b33ae2483419f7954c07a448,0,3.600600,99.40
384,seed_303,H_ALPHA,1,0.14154697,0.00000000,16c6d3fe2b7c27b5b8fc5508b3460a1fce619b4150f548b3cd5f567f9039d6c7,0,3.514476,99.40
384,seed_303,H_ALPHA,2,0.14167390,0.00000000,c681836a0f6348862b84d6d8f297338bf3a46231564c58b95e7307ded7e85bdf,0,3.592210,99.40
384,seed_303,H_BETA,0,0.14120212,0.00000000,6633c74cae265695ac6e31ff53afbb7aff43757bd52cd469ba78d4a9c9699996,0,3.888846,99.40
384,seed_303,H_BETA,1,0.14118086,0.00000000,ce3f08a59cb677d90ec84e522b7f3c67430b4953d4a4eebf17781853e5f3264c,0,3.821364,99.40
384,seed_303,H_BETA,2,0.14119568,0.00000000,4922c16ce8ff26cd48683d84a1b1dc86a14859e02d46df814dabcfc7b1103f5c,0,3.872639,99.40
384,seed_303,H_GAMMA,0,0.14120212,0.00000000,4de9de85929f034da597dfcaf52377217653d67f2ec695cf3bdd00bf75a8a011,0,4.274551,99.40
384,seed_303,H_GAMMA,1,0.14118086,0.00000000,a9bf277b63db37eaead163df983c97cc6303782a1c339810a0ccd860bb06b883,0,4.203966,99.40
384,seed_303,H_GAMMA,2,0.14119568,0.00000000,fa0f57beb954e98d6f3a5297ac97dbcf91b2697a7b1e249154f41a913a865438,0,4.255589,99.40
384,seed_404,H_ALPHA,0,0.14151934,0.00000000,468ec11de5b50ba565c9a79293f3ed8545bac6bfc868c89ca77bf160c39bd231,0,3.586218,99.40
384,seed_404,H_ALPHA,1,0.14161863,0.00000000,c90f937b40be95b815185c67d5ca9ad46837819762f4812a19a5fd20c9e98999,0,3.676279,99.40
384,seed_404,H_ALPHA,2,0.14161867,0.00000000,376895f183b0165ced6acfc5d4dd60b57ac26114bd626d3c71a030d1d33260bb,0,3.733397,99.40
384,seed_404,H_BETA,0,0.14120542,0.00000000,f407d6702a960eb3f1a1136efcac9eb66dcd635d516743d4ac70d1599de9a2ae,0,3.907821,99.40
384,seed_404,H_BETA,1,0.14123376,0.00000000,26dfb88541a6635f16c8103f2f7a57bef5a668961a70c5d7f33f2889572c7bb6,0,4.007414,99.40
384,seed_404,H_BETA,2,0.14123046,0.00000000,fc95f446cb4836717cf78cf6ce4ce59dfd9a20c1773069bbee3acbc0a9c725b7,0,4.015009,99.40
384,seed_404,H_GAMMA,0,0.14120542,0.00000000,bbb4eb354832d398c42d3819851da35429c0b040096c7ee4246c4dda7d7494c3,0,4.288665,99.40
384,seed_404,H_GAMMA,1,0.14123376,0.00000000,270bc5300f04c2d534c106d7375164da764dedc3a7275f9cd76e35fba339705d,0,4.392425,99.40
384,seed_404,H_GAMMA,2,0.14123046,0.00000000,d8d177d98b096816e957fb9e3dbbb78511e6052e7e28547fc46fc22683068360,0,4.421072,99.40
384,seed_505,H_ALPHA,0,0.14162365,0.00000000,3b51b55e476d11bed034fb05c43d62ce136670701e7d28de72153a1fe3abdd82,0,3.676708,99.40
384,seed_505,H_ALPHA,1,0.14161965,0.00000000,c36628f6101f397673b08e1483848e79da42a88e8e0e94333c3a1360300e7417,0,3.633433,99.40
384,seed_505,H_ALPHA,2,0.14169080,0.00000000,e225f4002d8199a61da72343c3d4a3d5c676a9aad66e26f9522b80b2c60496d7,0,3.755731,99.40
384,seed_505,H_BETA,0,0.14123150,0.00000000,b4162d790d3ba373bf40cedaa18bfd9a5214a3df52d07d71488520e99fe14ea5,0,3.997464,99.40
384,seed_505,H_BETA,1,0.14120816,0.00000000,849be23e622f684e039b840907668b13d4aba48c7d1b0fbe88a2361ea35db3cc,0,3.912203,99.40
384,seed_505,H_BETA,2,0.14125486,0.00000000,a624b75049df50598dba347d02c3eaaa199669fd0c9447ba6efff47ab1ca9592,0,4.087369,99.40
384,seed_505,H_GAMMA,0,0.14123150,0.00000000,a9c358997909c8301f0057b4ab0ef53ac0e5d79f29661789229f8d56248d2d6f,0,4.382616,99.40
384,seed_505,H_GAMMA,1,0.14120816,0.00000000,f60d35b454963013827076c0f5a1239b30e5feeb6667443ad38a0b9a4b9835b7,0,4.297720,99.40
384,seed_505,H_GAMMA,2,0.14125486,0.00000000,b5e0706e83621a510795ed7dac2b63cc8d4b5bd079882a7ee4467eae2d8a8404,0,4.476183,99.40
